   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.099 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.111 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.092 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.104 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.100 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.101 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.098 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.098 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.101 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.101 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.105 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.093 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.096 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.097 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.094 us    |      fbcon_putcs();
   0)   Xorg-1758    |   0.105 us    |      fbcon_getxy();
   0)   Xorg-1758    |   0.095 us    |      fbcon_putcs();
